차시,번호,유형,질문,보기,정답,해설
1차시,1,OX,얼음이 녹아 물이 되는 것은 화학 변화이다.,O/X,X,상태만 변하는 물리 변화입니다.
1차시,2,객관식,다음 중 물리 변화에 해당하는 사례는?,"1.종이가 탐, 2.사과 색 변화, 3.향수 확산, 4.못이 녹슬음",3,확산은 성질이 변하지 않는 물리 변화입니다.
1차시,3,객관식,화학 변화 시 변하지 않는 것은?,"1.원자 종류, 2.분자 종류, 3.물질 성질, 4.원자 배열",1,원자의 종류와 개수는 보존됩니다.
1차시,4,단답형,설탕물이 단맛을 유지하는 것은 어떤 변화인가?,,물리 변화,성질이 유지되므로 물리 변화입니다.
1차시,5,OX,앙금 생성이나 가스 발생은 화학 변화의 증거이다.,O/X,O,새로운 물질이 생성되었다는 증거입니다.
1차시,6,객관식,익은 달걀이 날달걀로 돌아갈 수 없는 이유는?,"1.모양 변화, 2.단백질 화학 변화, 3.수분 증발, 4.온도 하강",2,분자 구조가 바뀐 화학 변화이기 때문입니다.
1차시,7,객관식,화학 변화의 사례가 아닌 것은?,"1.김치가 익음, 2.양초가 녹음, 3.가스가 탐, 4.우유 상함",2,양초가 녹는 것은 상태 변화(물리)입니다.
1차시,8,단답형,원자 배열이 달라져 새롭게 만들어지는 입자는?,,분자,원자 배열이 바뀌면 분자의 종류가 변합니다.
1차시,9,객관식,설탕을 가열해 달고나를 만드는 과정은?,"1.물리, 2.화학, 3.상태 변화, 4.확산",2,색과 맛이 변하는 화학 변화입니다.
1차시,10,OX,물리 변화에서도 물질의 성질이 변할 수 있다.,O/X,X,성질이 변하지 않는 것이 물리 변화입니다.
2차시,1,객관식,화학 반응식 화살표 왼쪽에 적는 것은?,"1.생성물, 2.반응물, 3.촉매, 4.에너지",2,"왼쪽은 반응물, 오른쪽은 생성물입니다."
2차시,2,OX,반응 전후 원자의 종류와 개수는 같아야 한다.,O/X,O,원자 보존의 원칙 때문입니다.
2차시,3,객관식,수소와 산소가 반응해 물이 되는 식의 계수는?,"1.1-1-1, 2.2-1-2, 3.1-2-1, 4.2-2-2",2,2H2 + O2 -> 2H2O
2차시,4,단답형,분자 앞에 붙여 개수를 나타내는 숫자는?,,계수,식 앞의 큰 숫자를 계수라고 합니다.
2차시,5,OX,화학 반응식의 계수비는 항상 질량비와 같다.,O/X,X,계수비는 분자 수의 비입니다.
2차시,6,객관식,N2 + 3H2 -> 2NH3 에서 질소 1개당 필요한 수소는?,"1.1개, 2.2개, 3.3개, 4.4개",3,계수가 1:3:2입니다.
2차시,7,단답형,기호와 숫자로 반응을 나타낸 식은?,,화학 반응식,약속된 기호로 나타낸 식입니다.
2차시,8,객관식,계수를 맞출 때 절대 바꾸면 안 되는 숫자는?,"1.계수, 2.첨자(작은 숫자), 3.화살표, 4.더하기",2,첨자를 바꾸면 물질 종류가 바뀝니다.
2차시,9,OX,반응식으로 물질의 상태를 표시할 수 있다.,O/X,O,"(s), (l), (g) 등으로 표시합니다."
