번호,유형,질문,보기,정답,해설
1,OX,얼음이 녹아 물이 되는 것은 화학 변화이다.,O/X,X,상태만 변하는 물리 변화입니다.
2,객관식,다음 중 물리 변화에 해당하는 사례는?,"1.종이가 탐, 2.사과 색 변화, 3.향수 확산, 4.못이 녹슬음",3,확산은 성질이 변하지 않는 물리 변화입니다.
3,객관식,화학 변화 시 변하지 않는 것은?,"1.원자 종류, 2.분자 종류, 3.물질 성질, 4.원자 배열",1,원자의 종류와 개수는 보존됩니다.
4,단답형,설탕물이 단맛을 유지하는 것은 어떤 변화인가?,,물리 변화,성질이 유지되므로 물리 변화입니다.
5,OX,앙금 생성이나 가스 발생은 화학 변화의 증거이다.,O/X,O,새로운 물질이 생성되었다는 증거입니다.
6,객관식,익은 달걀이 날달걀로 돌아갈 수 없는 이유는?,"1.모양 변화, 2.단백질 화학 변화, 3.수분 증발, 4.온도 하강",2,분자 구조가 바뀐 화학 변화이기 때문입니다.
7,객관식,화학 변화의 사례가 아닌 것은?,"1.김치가 익음, 2.양초가 녹음, 3.가스가 탐, 4.우유 상함",2,양초가 녹는 것은 상태 변화(물리)입니다.
8,단답형,원자 배열이 달라져 새롭게 만들어지는 입자는?,,분자,원자 배열이 바뀌면 분자의 종류가 변합니다.
9,객관식,설탕을 가열해 달고나를 만드는 과정은?,"1.물리, 2.화학, 3.상태 변화, 4.확산",2,색과 맛이 변하는 화학 변화입니다.
10,OX,물리 변화에서도 물질의 성질이 변할 수 있다.,O/X,X,성질이 변하지 않는 것이 물리 변화입니다.
